campaign_id,date,client,secteur,service,canal,impressions,clics,ctr_pct,conversions,budget_mad,revenu_mad,cpc_mad,cpa_mad,roas,score_seo,position_google,engagement_pct,statut_campagne
MKT-00001,2026-05-17,Client_021,Restaurant,Content,Influence,453741.0,3835.0,0.85,524.0,22239.15,1931520.19,5.8,42.44,86.85,60.4,12.6,1.83,Active
MKT-00002,2026-01-08,Client_017,Tourisme,Content,Influence,619139.0,8311.0,1.34,319.0,12484.77,536999.35,1.5,39.14,43.01,56.0,22.9,1.12,Terminée
MKT-00003,2026-05-21,Client_086,Santé,Landing page,Meta Ads,314615.0,4728.0,1.5,403.0,27175.66,1550536.65,5.75,67.43,57.06,72.3,25.1,2.77,Terminée
MKT-00004,2026-06-24,Client_012,Finance,Content,Influence,77078.0,662.0,0.86,58.0,23076.69,66841.26,34.86,397.87,2.9,44.9,21.6,8.85,Terminée
MKT-00005,2026-04-22,Client_078,Finance,SEO,LinkedIn Ads,729972.0,56899.0,7.79,928.0,38563.25,343941.02,0.68,41.56,8.92,50.9,29.9,6.73,Pause
MKT-00006,2026-02-04,Client_070,Restaurant,Landing page,Meta Ads,777182.0,60837.0,7.83,2279.0,24881.92,3828035.84,0.41,10.92,153.85,62.4,4.9,0.51,Active
MKT-00007,2026-05-28,Client_037,Finance,App mobile,Influence,758489.0,52786.0,6.96,5522.0,9789.85,10747868.26,0.19,1.77,1097.86,70.3,27.5,6.23,Optimisation
MKT-00008,2026-03-11,Client_081,Retail,Landing page,LinkedIn Ads,328950.0,26884.0,8.17,2486.0,41933.49,1512484.53,1.56,16.87,36.07,77.2,16.5,4.73,Pause
MKT-00009,2026-05-04,Client_044,Tourisme,SEO,SEO,895082.0,68693.0,7.67,8855.0,25431.34,12798219.21,0.37,2.87,503.25,75.7,6.6,3.47,Active
MKT-00010,2026-06-06,Client_028,Immobilier,Landing page,LinkedIn Ads,734112.0,60704.0,8.27,4713.0,41933.78,7419433.55,0.69,8.9,176.93,48.5,10.8,0.85,Active
MKT-00011,2026-05-28,Client_065,Immobilier,Landing page,Meta Ads,164045.0,6394.0,3.9,619.0,17402.18,455795.17,2.72,28.11,26.19,64.6,2.3,5.51,Active
MKT-00012,2026-06-02,Client_071,Tourisme,SEO,Influence,182043.0,15411.0,8.47,1221.0,12942.94,4670712.23,0.84,10.6,360.87,92.6,8.4,2.51,Pause
MKT-00013,2026-02-05,Client_012,Immobilier,Content,Emailing,716559.0,54419.0,7.59,6364.0,37624.37,5715104.65,0.69,5.91,151.9,45.7,5.8,6.75,Pause
MKT-00014,2026-05-31,Client_036,Restaurant,Content,Emailing,200396.0,5039.0,2.51,164.0,39298.06,569169.98,7.8,,14.48,67.6,24.7,4.37,Active
MKT-00015,2026-02-05,Client_025,Santé,Landing page,TikTok Ads,244636.0,8483.0,3.47,962.0,,2236905.08,0.17,1.48,1574.76,92.1,12.8,2.87,Active
MKT-00016,2026-03-07,Client_010,Finance,Landing page,Emailing,872225.0,37975.0,4.35,1302.0,35706.43,3701003.4,0.94,27.42,103.65,54.6,15.5,8.84,Optimisation
MKT-00017,2026-04-09,Client_080,Tourisme,Publicité,LinkedIn Ads,445934.0,4173.0,0.94,428.0,42811.5,153844.04,10.26,100.03,3.59,57.5,10.2,11.54,Optimisation
MKT-00018,2026-02-17,Client_037,Santé,Landing page,Emailing,887080.0,10837.0,1.22,1048.0,3824.41,1607647.38,0.35,3.65,420.36,72.4,17.7,10.95,Active
MKT-00019,2026-04-27,Client_071,Restaurant,App mobile,Meta Ads,423907.0,21839.0,5.15,2314.0,6773.68,3256423.9,0.31,2.93,480.75,91.6,2.8,4.74,Active
MKT-00020,2026-05-24,Client_039,Immobilier,App mobile,SEO,789318.0,47000.0,5.95,4081.0,10447.61,8047248.68,0.22,2.56,770.25,46.0,26.6,7.72,Optimisation
MKT-00021,2026-06-11,Client_016,Education,Landing page,SEO,519005.0,14515.0,2.8,2006.0,18542.11,3655279.92,1.28,9.24,197.13,50.5,14.4,2.91,Terminée
MKT-00022,2026-01-30,Client_052,Santé,SEO,Google Ads,824722.0,49281.0,5.98,957.0,41710.7,1139481.56,0.85,43.58,27.32,48.2,18.3,5.19,Terminée
